# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	362
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=7 d=3.34292 t=362
an 	按	c=0 d=0.0514274 t=362
an qi la 	安琪拉	c=1 d=1 t=357
an ti dui 	按梯隊	c=1 d=0.516851 t=362
an zhao 	按照	c=1 d=0.594521 t=362
ba 	吧	c=5 d=2.70759 t=362
ba 	把	c=1 d=0.882497 t=362
bai du 	百度	c=1 d=0.946485 t=362
bang 	榜	c=1 d=0.527292 t=362
bang shou 	榜首	c=0 d=0.1 t=355
bao hu 	保護	c=0 d=0.1 t=329
bao hu ka 	保護卡	c=1 d=1 t=330
bi jing 	畢竟	c=1 d=0.771052 t=362
bi ru 	比如	c=1 d=0.690734 t=362
bi sai 	比賽	c=1 d=0.429557 t=362
bo cai 	博彩	c=1 d=0.433874 t=362
bu cun zai 	不存在	c=1 d=0.782705 t=362
bu hao yi si 	不好意思	c=1 d=0.941765 t=362
bu jiu 	不就	c=1 d=0.609571 t=362
bu neng 	不能	c=1 d=0.826959 t=362
bu tai 	不太	c=0 d=0.0869358 t=362
bu tai hao 	不太好	c=1 d=0.937067 t=362
bu tai xing 	不太行	c=1 d=0.873716 t=362
bu xin 	不信	c=0 d=0.1 t=344
bu yi yang 	不一樣	c=2 d=0.905877 t=362
cai 	猜	c=1 d=0.447088 t=362
can jia 	參加	c=1 d=0.759572 t=362
can zhao 	參照	c=1 d=0.579842 t=362
cha bu duo 	差不多	c=1 d=0.565525 t=362
chong hua 	重畫	c=1 d=0.771052 t=362
chu li 	處理	c=2 d=1.48908 t=362
ci chu 	此處	c=2 d=0.861864 t=362
cuo 	錯	c=1 d=0.496805 t=362
cuo wu 	錯誤	c=1 d=0.744532 t=362
da 	打	c=3 d=1.91288 t=362
da dou 	大都	c=1 d=0.774916 t=362
da kai 	打開	c=1 d=0.960789 t=362
da ma 	大嗎	c=1 d=0.571209 t=362
dan shi 	但是	c=1 d=0.729789 t=362
dao ru 	導入	c=1 d=0.847894 t=362
de 	得	c=1 d=0.591555 t=362
de 	的	c=14 d=7.32195 t=362
deng deng 	等等	c=1 d=0.650509 t=362
deng lu 	登錄	c=1 d=0.802519 t=362
deng zhe 	登着	c=1 d=1 t=334
di yi ge 	第一個	c=1 d=0.852144 t=362
dian nao 	電腦	c=1 d=0.882497 t=362
dong xi 	東西	c=2 d=1.23772 t=362
dou shuo 	都說	c=1 d=0.88692 t=362
du nai 	毒奶	c=1 d=0.524663 t=362
du qu 	讀取	c=1 d=0.715338 t=362
e luo si 	俄羅斯	c=1 d=0.571209 t=362
emoji 	Emoji	c=1 d=0.843665 t=362
en 	恩	c=3 d=1.80448 t=362
fan bei 	翻倍	c=2 d=0.984826 t=362
fang kuai 	方塊	c=1 d=0.574072 t=362
fang lan 	芳蘭	c=0 d=0.0965605 t=362
fei 	非	c=1 d=0.755784 t=362
fen fa 	分發	c=1 d=0.412714 t=362
fen qian 	分錢	c=1 d=0.458406 t=362
fen xiang 	分享	c=1 d=0.932394 t=362
fu fei 	付費	c=1 d=0.918512 t=362
fu zhu 	輔助	c=1 d=1 t=352
gang kai shi 	剛開始	c=1 d=0.486752 t=362
gao 	高	c=1 d=1 t=326
ge 	個	c=1 d=1 t=319
ge shi 	格式	c=1 d=0.733447 t=362
gen ni 	跟你	c=0 d=0.0951229 t=362
gen ni da 	跟你打	c=1 d=0.955997 t=362
gu shi 	古詩	c=1 d=0.826959 t=362
gui 	鬼	c=1 d=1 t=347
guo fu 	國服	c=1 d=1.0802 t=355
guo fu bang shou 	國服榜首	c=1 d=1 t=356
ha 	哈	c=1 d=0.67368 t=362
ha 	鰕	c=1 d=0.625002 t=362
ha ha ha 	哈哈哈	c=1 d=0.67032 t=362
hai shi 	還是	c=1 d=0.697676 t=362
hai xing 	還行	c=3 d=2.20173 t=362
hai you 	還有	c=1 d=1 t=329
hai zi 	孩子	c=1 d=0.99005 t=362
hao 	號	c=1 d=1 t=333
hao de 	好的	c=2 d=1.32057 t=362
hao de ba 	好的吧	c=1 d=0.408608 t=362
hao di 	𨂜地	c=1 d=0.814647 t=362
hao gao 	好高	c=1 d=1 t=309
hao le 	好了	c=1 d=0.673889 t=362
hao qiang 	好強	c=0 d=0.0941765 t=362
he 	和	c=2 d=0.833539 t=362
he he 	呵呵	c=2 d=0.905834 t=362
he ni 	和你	c=1 d=1 t=324
he wo 	和我	c=1 d=0.562705 t=362
hou 	後	c=1 d=0.71177 t=362
hou lai 	後來	c=1 d=0.494109 t=362
hou xuan 	候選	c=1 d=0.637628 t=362
hu ya 	虎牙	c=2 d=1.7962 t=362
hui lai 	回來	c=1 d=1 t=312
huo de 	獲得	c=2 d=1.44149 t=362
ji 	幾	c=0 d=0.097531 t=362
ji 	濟	c=1 d=0.843665 t=362
ji ba 	幾把	c=1 d=1 t=320
ji bu de 	記不得	c=1 d=0.551563 t=362
ji chang 	幾場	c=1 d=0.427415 t=362
ji fen 	積分	c=1 d=0.438235 t=362
ji ke 	即刻	c=1 d=0.759572 t=362
